ssc_name, ssc2011
Abbotsford (Vic.),20001
Aberfeldie,20002
Acheron,20003
Aireys Inlet,20004
Airport West,20005
Albanvale,20006
Albert Park (Vic.),20007
Alberton (Vic.),20008
Albion (Vic.),20009
Alexandra (Vic.),20010
Alfredton,20011
Allansford,20012
Allendale,20013
Alma (Vic.),20014
Alphington,20015
Altona (Vic.),20016
Altona Meadows,20017
Altona North,20018
Amphitheatre,20019
Anakie,20020
Anglesea,20021
Apollo Bay (Vic.),20022
Apsley (Vic.),20023
Ararat,20024
Arcadia (Vic.),20025
Ardeer,20026
Ardmona,20027
Armadale (Vic.),20028
Arthurs Creek,20029
Arthurs Seat,20030
Ascot (Ballarat - Vic.),20031
Ascot (Greater Bendigo - Vic.),20032
Ascot Vale,20033
Ashbourne (Vic.),20034
Ashburton,20035
Ashwood,20036
Aspendale,20037
Aspendale Gardens,20038
Athlone,20039
Attwood,20040
Avalon (Vic.),20041
Avenel,20042
Avoca (Vic.),20043
Avondale Heights,20044
Avonsleigh,20045
Axe Creek,20046
Axedale,20047
Bacchus Marsh,20048
Baddaginnie,20049
Badger Creek,20050
Bagshot,20051
Bailieston,20052
Bairnsdale,20053
Bakery Hill,20054
Balaclava (Vic.),20055
Ballan,20056
Ballarat Central,20057
Ballarat East,20058
Ballarat North,20059
Ballendella,20060
Balliang,20061
Balmattum,20062
Balmoral (Vic.),20063
Balnarring,20064
Balnarring Beach,20065
Balwyn,20066
Balwyn North,20067
Bamawm,20068
Bamawm Extension,20069
Bandiana,20070
Bangholme,20071
Bannockburn (Vic.),20072
Baranduda,20073
Baringhup,20074
Barjarg,20075
Barkers Creek,20076
Barmah,20077
Barnawartha,20078
Barnawartha North,20079
Barongarook,20080
Barongarook West,20081
Barrabool,20082
Barwon Downs,20083
Barwon Heads,20084
Bass,20085
Batesford,20086
Baw Baw (Vic.),20087
Baw Baw Village,20088
Baxter,20089
Bayles,20090
Baynton (Vic.),20091
Bayswater (Vic.),20092
Bayswater North,20093
Beaconsfield (Vic.),20094
Beaconsfield Upper,20095
Bealiba,20096
Bearii,20097
Beaufort (Vic.),20098
Beaumaris (Vic.),20099
Beeac,20100
Beech Forest,20101
Beechworth,20102
Belgrave,20103
Belgrave Heights,20104
Belgrave South,20105
Bell Park,20106
Bell Post Hill,20107
Bellbrae,20108
Bellbridge,20109
